,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
2,,2014,,,2016,코발트팰리스,오장동,"12,000",중구,4,0,11,20.36,,,90-24,11140,12
3,,2003,,,2016,(340-123),신당동,"12,000",중구,4,0,1,22.4,,,340-123,11140,2
4,,2016,,,2016,신당역솔하임,신당동,"4,000",중구,4,50,1,18.8,,,140-23,11140,2
5,,2015,,,2016,장충아이빌2,신당동,"22,000",중구,4,0,2,29.96,,,420-16,11140,6
6,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,4,70,2,26.72,,,140-23,11140,6
7,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,4,75,11,20.69,,,140-23,11140,12
8,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,4,70,18,18.8,,,140-23,11140,13
9,,2014,,,2016,신당아르브,신당동,500,중구,4,70,20,21.31,,,160-5,11140,15
10,,2014,,,2016,신당아르브,신당동,"5,000",중구,4,45,21,21.31,,,160-5,11140,15
11,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,4,125,3,46.74,,,13-1,11140,18
12,,2014,,,2016,청계천 두산위브더제니스,흥인동,"4,000",중구,4,75,5,35.77,,,13-1,11140,23
13,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,4,130,18,46.74,,,13-1,11140,6
14,,2014,,,2016,동대문 와이즈 캐슬,흥인동,"13,500",중구,4,0,25,21.35,,,119,11140,4
15,,2014,,,2016,청계천 두산위브더제니스,흥인동,"1,000",중구,4,105,27,34.61,,,13-1,11140,4
16,,2014,,,2016,아미인,황학동,"12,800",중구,4,0,1,18.62,,,836,11140,3
17,,2014,,,2016,DUO302,황학동,"2,000",중구,4,60,1,22.52,,,819,11140,16
18,,2014,,,2016,DUO302,황학동,"2,000",중구,4,60,3,23.06,,,819,11140,4
19,,2004,,,2016,신당역올리브2,황학동,"1,000",중구,4,55,4,23.82,,,2484,11140,12
20,,2004,,,2016,올리브1,황학동,"11,000",중구,4,0,4,25.05,,,808,11140,7
21,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,4,60,4,19.05,,,787,11140,4
22,,2014,,,2016,DUO302,황학동,"13,500",중구,4,0,4,22.52,,,819,11140,5
23,,2014,,,2016,DUO302,황학동,"2,000",중구,4,60,5,22.52,,,819,11140,5
24,,2013,,,2016,한양 I-Class,황학동,"2,000",중구,4,50,5,19.05,,,787,11140,8
25,,2014,,,2016,아미인,황학동,"12,500",중구,4,0,6,18.23,,,836,11140,3
26,,2014,,,2016,DUO302,황학동,"14,000",중구,4,0,6,22.52,,,819,11140,4
27,,2013,,,2016,블루카운티,황학동,"3,000",중구,4,85,7,41.87,,,1519,11140,4
28,,2003,,,2016,중앙시티빌,황학동,"2,000",중구,4,50,12,24.5,,,805,11140,6
29,,2013,,,2016,한양 I-Class,황학동,500,중구,4,60,18,19.05,,,787,11140,6
30,,2014,,,2016,DUO302,황학동,"2,000",중구,4,60,18,22.52,,,819,11140,10
31,,2014,,,2016,DUO302,황학동,"15,000",중구,4,0,18,22.52,,,819,11140,15
32,,2014,,,2016,DUO302,황학동,"3,000",중구,4,55,21,22.52,,,819,11140,14
33,,2013,,,2016,한양 I-Class,황학동,"3,000",중구,4,45,21,19.05,,,787,11140,8
34,,2014,,,2016,아미인,황학동,"13,000",중구,4,0,22,18.62,,,836,11140,7
35,,2014,,,2016,아미인,황학동,"13,000",중구,4,0,26,18.23,,,836,11140,3
36,,2004,,,2016,올리브1,황학동,"11,000",중구,4,0,29,25.05,,,808,11140,7
37,,2003,,,2016,바비엥-1,의주로1가,"40,000",중구,4,0,30,83.05,,,32-2,11140,12
38,,2006,,,2016,브라운스톤서울,중림동,"35,000",중구,4,0,18,68.04,,,355,11140,10
39,,2004,,,2016,KCC 파크타운,만리동2가,"29,000",중구,4,0,4,66.47,,,11-1,11140,6
40,,2004,,,2016,KCC 파크타운,만리동2가,"30,000",중구,4,0,9,66.47,,,11-1,11140,9
41,,2004,,,2016,KCC 파크타운,만리동2가,"5,000",중구,4,100,12,66.47,,,11-1,11140,13
42,,2004,,,2016,KCC 파크타운,만리동2가,"27,000",중구,4,0,23,66.47,,,11-1,11140,4
43,,2004,,,2016,KCC 파크타운,만리동2가,"29,000",중구,4,0,25,66.47,,,11-1,11140,7
0,,2005,,,2016,성진오피스텔,광희동2가,"7,000",중구,5,0,25,22.8,,,194-1,11140,4
1,,2003,,,2016,정건벨라지오오피스텔,을지로5가,500,중구,5,55,27,21.94,,,20-1,11140,9
2,,2014,,,2016,코발트팰리스,오장동,"12,000",중구,5,0,9,20.36,,,90-24,11140,11
3,,2013,,,2016,엘크루 메트로시티,충무로3가,"5,000",중구,5,80,20,28.94,,,49,11140,19
4,,2004,,,2016,JK오피스텔,신당동,"7,000",중구,5,10,31,22.75,,,353-22,11140,3
5,,2016,,,2016,리마크빌 동대문,흥인동,"1,000",중구,5,72,20,24.65,,,86,11140,8
6,,2014,,,2016,아미인,황학동,"12,800",중구,5,0,2,18.41,,,836,11140,2
7,,2013,,,2016,한양 I-Class,황학동,"17,000",중구,5,0,3,29.64,,,787,11140,3
8,,2014,,,2016,DUO302,황학동,"8,000",중구,5,30,4,22.52,,,819,11140,14
9,,2004,,,2016,신당역올리브2,황학동,"2,000",중구,5,50,6,23.82,,,2484,11140,7
10,,2014,,,2016,DUO302,황학동,500,중구,5,70,7,22.52,,,819,11140,14
11,,2015,,,2016,골드캐슬Ⅰ,황학동,"3,000",중구,5,85,10,40.87,,,1725,11140,2
12,,2014,,,2016,아미인,황학동,"12,800",중구,5,0,12,18.23,,,836,11140,2
13,,2014,,,2016,DUO302,황학동,"1,000",중구,5,70,13,22.52,,,819,11140,12
14,,2014,,,2016,DUO302,황학동,"10,000",중구,5,0,14,22.52,,,819,11140,8
15,,2014,,,2016,다올 노블리움 B동,황학동,"5,000",중구,5,80,18,48.31,,,1744-1,11140,7
16,,2014,,,2016,아미인,황학동,"12,800",중구,5,0,18,18.62,,,836,11140,2
17,,2003,,,2016,중앙시티빌,황학동,"2,000",중구,5,60,20,31.04,,,805,11140,7
18,,2014,,,2016,블루카운티Ⅱ,황학동,"24,000",중구,5,0,21,48.22,,,1628,11140,4
19,,2001,,,2016,골든빌,황학동,"1,500",중구,5,40,23,33.27,,,1752,11140,4
20,,2004,,,2016,신당역올리브2,황학동,"1,000",중구,5,55,26,23.82,,,2484,11140,9
21,,2014,,,2016,DUO302,황학동,"3,000",중구,5,50,26,22.52,,,819,11140,6
22,,2014,,,2016,블루카운티Ⅱ,황학동,"23,500",중구,5,0,26,48.22,,,1628,11140,5
23,,2014,,,2016,DUO302,황학동,"1,000",중구,5,65,28,22.52,,,819,11140,18
24,,2003,,,2016,바비엥-1,의주로1가,"50,000",중구,5,0,23,126.59,,,32-2,11140,15
25,,2004,,,2016,KCC 파크타운,만리동2가,"30,000",중구,5,0,2,66.47,,,11-1,11140,6
26,,2004,,,2016,KCC 파크타운,만리동2가,"24,000",중구,5,0,24,66.47,,,11-1,11140,15
27,,2004,,,2016,KCC 파크타운,만리동2가,"30,000",중구,5,0,28,66.47,,,11-1,11140,14
0,,2008,,,2016,명동아르누보센텀,을지로2가,"13,000",중구,6,60,27,41.2,,,199-40,11140,9
1,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"22,000",중구,6,0,6,41.41,,,36-2,11140,3
2,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,8,23.03,,,36-2,11140,11
3,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"2,500",중구,6,58,9,23.03,,,36-2,11140,3
4,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,500",중구,6,0,13,23.03,,,36-2,11140,19
5,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,13,23.03,,,36-2,11140,7
6,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,13,23.03,,,36-2,11140,20
7,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,500",중구,6,0,15,23.03,,,36-2,11140,19
8,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,16,23.03,,,36-2,11140,18
9,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"25,000",중구,6,0,17,37.07,,,36-2,11140,20
